entity_id,n_records,record_ids,mean_link_confidence,issues,flagged
166,2,"['nypl_1851_1852_doggetts_000751', 'nypl_1851_1852_doggetts_000765']",0.515,[],False
167,2,"['nypl_1851_1852_doggetts_002248', 'nypl_1851_1852_doggetts_003576']",0.505,[],False
168,2,"['nypl_1851_1852_doggetts_003562', 'nypl_1851_1852_doggetts_005672']",0.73,[],False
169,2,"['nypl_1851_1852_doggetts_003083', 'nypl_1851_1852_doggetts_003160']",0.54,[],False
170,2,"['nypl_1851_1852_doggetts_001057', 'nypl_1851_1852_doggetts_006560']",0.565,[],False
171,2,"['nypl_1851_1852_doggetts_001502', 'nypl_1851_1852_doggetts_001503']",0.555,[],False
172,2,"['nypl_1851_1852_doggetts_001403', 'nypl_1851_1852_doggetts_006205']",0.515,[],False
173,2,"['nypl_1851_1852_doggetts_005976', 'nypl_1851_1852_doggetts_005991']",0.955,[],False
174,2,"['nypl_1851_1852_doggetts_001363', 'nypl_1851_1852_doggetts_002347']",0.52,[],False
175,2,"['nypl_1851_1852_doggetts_001401', 'nypl_1851_1852_doggetts_006178']",0.515,[],False
176,2,"['nypl_1851_1852_doggetts_000652', 'nypl_1851_1852_doggetts_000653']",0.985,[],False
177,2,"['nypl_1851_1852_doggetts_006027', 'nypl_1851_1852_doggetts_006073']",0.555,[],False
178,2,"['nypl_1851_1852_doggetts_000525', 'nypl_1851_1852_doggetts_000529']",0.52,[],False
179,2,"['nypl_1851_1852_doggetts_000509', 'nypl_1851_1852_doggetts_006718']",0.555,[],False
180,2,"['nypl_1851_1852_doggetts_005978', 'nypl_1851_1852_doggetts_005979']",0.585,[],False
181,2,"['nypl_1851_1852_doggetts_003008', 'nypl_1851_1852_doggetts_003011']",0.525,['conflicting_occupation'],True
182,2,"['nypl_1851_1852_doggetts_001646', 'nypl_1851_1852_doggetts_006537']",0.515,[],False
183,2,"['nypl_1851_1852_doggetts_000760', 'nypl_1851_1852_doggetts_000764']",0.55,[],False
184,2,"['nypl_1851_1852_doggetts_007876', 'nypl_1851_1852_doggetts_007877']",0.92,['conflicting_occupation'],True
185,2,"['nypl_1851_1852_doggetts_007682', 'nypl_1851_1852_doggetts_007836']",0.555,[],False
186,2,"['nypl_1851_1852_doggetts_005242', 'nypl_1851_1852_doggetts_005244']",0.53,[],False
187,2,"['nypl_1851_1852_doggetts_002494', 'nypl_1851_1852_doggetts_002577']",0.505,['conflicting_occupation'],True
188,2,"['nypl_1851_1852_doggetts_002781', 'nypl_1851_1852_doggetts_003068']",0.52,[],False
189,2,"['nypl_1851_1852_doggetts_000405', 'nypl_1851_1852_doggetts_003903']",0.555,[],False
190,2,"['nypl_1851_1852_doggetts_005969', 'nypl_1851_1852_doggetts_005990']",0.555,[],False
191,2,"['nypl_1851_1852_doggetts_000536', 'nypl_1851_1852_doggetts_000540']",0.63,['conflicting_occupation'],True
192,2,"['nypl_1851_1852_doggetts_003560', 'nypl_1851_1852_doggetts_005074']",0.515,[],False
193,2,"['nypl_1851_1852_doggetts_001395', 'nypl_1851_1852_doggetts_001984']",0.555,[],False
194,2,"['nypl_1851_1852_doggetts_003774', 'nypl_1851_1852_doggetts_003807']",0.52,[],False
195,2,"['nypl_1851_1852_doggetts_005044', 'nypl_1851_1852_doggetts_005093']",0.94,[],False
196,2,"['nypl_1851_1852_doggetts_002247', 'nypl_1851_1852_doggetts_005975']",0.56,['conflicting_occupation'],True
197,2,"['nypl_1851_1852_doggetts_003330', 'nypl_1851_1852_doggetts_003332']",0.65,[],False
198,2,"['nypl_1851_1852_doggetts_007925', 'nypl_1851_1852_doggetts_007926']",0.52,[],False
199,2,"['nypl_1851_1852_doggetts_000789', 'nypl_1851_1852_doggetts_000790']",0.55,[],False
200,2,"['nypl_1851_1852_doggetts_001342', 'nypl_1851_1852_doggetts_006929']",0.575,[],False
201,2,"['nypl_1851_1852_doggetts_001182', 'nypl_1851_1852_doggetts_005649']",0.57,[],False
202,2,"['nypl_1851_1852_doggetts_001009', 'nypl_1851_1852_doggetts_006939']",0.515,[],False
203,2,"['nypl_1851_1852_doggetts_001347', 'nypl_1851_1852_doggetts_006927']",0.54,[],False
204,2,"['nypl_1851_1852_doggetts_002612', 'nypl_1851_1852_doggetts_006436']",0.565,[],False
205,2,"['nypl_1851_1852_doggetts_007158', 'nypl_1851_1852_doggetts_007159']",0.515,[],False
206,2,"['nypl_1851_1852_doggetts_001497', 'nypl_1851_1852_doggetts_001501']",0.515,[],False
207,2,"['nypl_1851_1852_doggetts_000577', 'nypl_1851_1852_doggetts_004765']",0.66,[],False
208,2,"['nypl_1851_1852_doggetts_005411', 'nypl_1851_1852_doggetts_005416']",0.52,[],False
209,2,"['nypl_1851_1852_doggetts_000409', 'nypl_1851_1852_doggetts_003820']",0.675,['conflicting_occupation'],True
210,2,"['nypl_1851_1852_doggetts_000685', 'nypl_1851_1852_doggetts_000840']",0.58,[],False
211,2,"['nypl_1851_1852_doggetts_001059', 'nypl_1851_1852_doggetts_001440']",0.515,[],False
212,2,"['nypl_1851_1852_doggetts_003557', 'nypl_1851_1852_doggetts_003558']",0.555,[],False
213,2,"['nypl_1851_1852_doggetts_002961', 'nypl_1851_1852_doggetts_003137']",0.56,[],False
214,2,"['nypl_1851_1852_doggetts_006467', 'nypl_1851_1852_doggetts_006468']",0.515,[],False
215,2,"['nypl_1851_1852_doggetts_005032', 'nypl_1851_1852_doggetts_005977']",0.91,[],False
216,2,"['nypl_1851_1852_doggetts_004968', 'nypl_1851_1852_doggetts_004976']",0.54,[],False
217,2,"['nypl_1851_1852_doggetts_007185', 'nypl_1851_1852_doggetts_007188']",0.555,[],False
218,2,"['nypl_1851_1852_doggetts_000291', 'nypl_1851_1852_doggetts_000292']",0.535,[],False
219,2,"['nypl_1851_1852_doggetts_000499', 'nypl_1851_1852_doggetts_002691']",0.53,[],False
220,2,"['nypl_1851_1852_doggetts_000605', 'nypl_1851_1852_doggetts_004280']",1.0,[],False
221,2,"['nypl_1851_1852_doggetts_002887', 'nypl_1851_1852_doggetts_002928']",0.925,[],False
222,2,"['nypl_1851_1852_doggetts_007735', 'nypl_1851_1852_doggetts_007736']",0.555,[],False
223,2,"['nypl_1851_1852_doggetts_001405', 'nypl_1851_1852_doggetts_001406']",0.76,[],False
224,2,"['nypl_1851_1852_doggetts_001416', 'nypl_1851_1852_doggetts_001465']",0.545,[],False
225,2,"['nypl_1851_1852_doggetts_001087', 'nypl_1851_1852_doggetts_002210']",0.52,[],False
226,2,"['nypl_1851_1852_doggetts_001151', 'nypl_1851_1852_doggetts_001409']",0.57,['conflicting_occupation'],True
227,2,"['nypl_1851_1852_doggetts_002837', 'nypl_1851_1852_doggetts_003065']",0.94,[],False
228,2,"['nypl_1851_1852_doggetts_007487', 'nypl_1851_1852_doggetts_007500']",0.54,['conflicting_occupation'],True
229,2,"['nypl_1851_1852_doggetts_002963', 'nypl_1851_1852_doggetts_002968']",0.555,[],False
230,2,"['nypl_1851_1852_doggetts_005088', 'nypl_1851_1852_doggetts_005970']",0.525,['conflicting_occupation'],True
231,2,"['nypl_1851_1852_doggetts_006787', 'nypl_1851_1852_doggetts_006810']",0.52,[],False
232,2,"['nypl_1851_1852_doggetts_007974', 'nypl_1851_1852_doggetts_007976']",0.545,['conflicting_occupation'],True
